id,areaDesc,SAME_codes,UGC_codes,affectedZones,sent,effective,onset,expires,ends,status,messageType,category,severity,certainty,urgency,event,headline
urn:oid:2.49.0.1.840.0.f7a73620092998c60c8d5be8aa8513e8d9a86f8d.001.1,Flagler Beach to Volusia-Brevard County Line 0-20 nm; Volusia-Brevard County Line to Sebastian Inlet 0-20 nm; Sebastian Inlet to Jupiter Inlet 0-20 nm,"075550,075552,075555","AMZ550,AMZ552,AMZ555","https://api.weather.gov/zones/forecast/AMZ550,https://api.weather.gov/zones/forecast/AMZ552,https://api.weather.gov/zones/forecast/AMZ555",2024-10-12T14:00:00-04:00,2024-10-12T14:00:00-04:00,2024-10-12T14:00:00-04:00,2024-10-12T23:00:00-04:00,2024-10-12T23:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:00PM EDT until October 12 at 11:00PM EDT by NWS Melbourne FL
urn:oid:2.49.0.1.840.0.f7a73620092998c60c8d5be8aa8513e8d9a86f8d.002.1,Flagler Beach to Volusia-Brevard County Line 20-60 nm,075570,AMZ570,https://api.weather.gov/zones/forecast/AMZ570,2024-10-12T14:00:00-04:00,2024-10-12T14:00:00-04:00,2024-10-12T14:00:00-04:00,2024-10-12T23:00:00-04:00,2024-10-12T23:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:00PM EDT until October 12 at 11:00PM EDT by NWS Melbourne FL
urn:oid:2.49.0.1.840.0.f7a73620092998c60c8d5be8aa8513e8d9a86f8d.003.1,Volusia-Brevard County Line to Sebastian Inlet 20-60 nm; Sebastian Inlet to Jupiter Inlet 20-60 nm,"075572,075575","AMZ572,AMZ575","https://api.weather.gov/zones/forecast/AMZ572,https://api.weather.gov/zones/forecast/AMZ575",2024-10-12T14:00:00-04:00,2024-10-12T14:00:00-04:00,2024-10-12T14:00:00-04:00,2024-10-12T23:00:00-04:00,2024-10-13T11:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:00PM EDT until October 13 at 11:00AM EDT by NWS Melbourne FL
urn:oid:2.49.0.1.840.0.a6413afc6ff7c921aa34c5c275672da34b6a420a.002.1,Ketchikan Gateway Borough; Annette Island,"002130,002198","AKZ330,AKZ332","https://api.weather.gov/zones/forecast/AKZ330,https://api.weather.gov/zones/forecast/AKZ332",2024-10-12T09:58:00-08:00,2024-10-12T09:58:00-08:00,2024-10-12T09:58:00-08:00,2024-10-12T13:00:00-08:00,2024-10-12T13:00:00-08:00,Actual,Update,Met,Severe,Likely,Expected,High Wind Warning,High Wind Warning issued October 12 at 9:58AM AKDT until October 12 at 1:00PM AKDT by NWS Juneau AK
urn:oid:2.49.0.1.840.0.df305a61e16816ef536c2f33d1ac632ef0aaed02.001.1,Waters from Savannah GA to Altamaha Sound GA extending from 20 nm to 60 nm,075374,AMZ374,https://api.weather.gov/zones/forecast/AMZ374,2024-10-12T13:23:00-04:00,2024-10-12T13:23:00-04:00,2024-10-12T13:23:00-04:00,2024-10-12T18:00:00-04:00,2024-10-12T18:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 1:23PM EDT until October 12 at 6:00PM EDT by NWS Charleston SC
urn:oid:2.49.0.1.840.0.d2cf6dd922768d3f140e3dad5dbc24fa06636973.001.1,Hawk Channel from Ocean Reef to Craig Key out to the reef; Hawk Channel from Craig Key to west end of Seven Mile Bridge out to the reef; Hawk Channel from west end of Seven Mile Bridge to Halfmoon Shoal out to the reef; Straits of Florida from Ocean Reef to Craig Key out 20 NM; Straits of Florida from Craig Key to west end of Seven Mile Bridge out 20 NM; Straits of Florida from west end of Seven Mile Bridge to south of Halfmoon Shoal out 20 NM; Straits of Florida from Halfmoon Shoal to 20 NM west of Dry Tortugas out 20 NM; Straits of Florida from Ocean Reef to Craig Key 20 to 60 NM out; Straits of Florida from Craig Key to west end of Seven Mile Bridge 20 to 60 NM out; Straits of Florida from west end of Seven Mile Bridge to south of Halfmoon Shoal 20 to 60 NM out; Straits of Florida from Halfmoon Shoal to 20 NM west of Dry Tortugas 20 to 60 NM out,"077042,077043,077044,077052,077053,077054,077055,077072,077073,077074,077075","GMZ042,GMZ043,GMZ044,GMZ052,GMZ053,GMZ054,GMZ055,GMZ072,GMZ073,GMZ074,GMZ075","https://api.weather.gov/zones/forecast/GMZ042,https://api.weather.gov/zones/forecast/GMZ043,https://api.weather.gov/zones/forecast/GMZ044,https://api.weather.gov/zones/forecast/GMZ052,https://api.weather.gov/zones/forecast/GMZ053,https://api.weather.gov/zones/forecast/GMZ054,https://api.weather.gov/zones/forecast/GMZ055,https://api.weather.gov/zones/forecast/GMZ072,https://api.weather.gov/zones/forecast/GMZ073,https://api.weather.gov/zones/forecast/GMZ074,https://api.weather.gov/zones/forecast/GMZ075",2024-10-12T13:20:00-04:00,2024-10-12T13:20:00-04:00,2024-10-12T13:20:00-04:00,2024-10-12T17:00:00-04:00,2024-10-12T17:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 1:20PM EDT until October 12 at 5:00PM EDT by NWS Key West FL
urn:oid:2.49.0.1.840.0.303ef00864ce63f4430cc7ec74d06212fe08adb3.002.1,Lake Michigan Michigan City IN to St. Joseph MI 5 NM offshore to mid-line of lake.; Lake Michigan from Two Rivers to Sheboygan WI 5NM offshore to Mid Lake; Lake Michigan from Sheboygan to Port Washington WI 5NM offshore to Mid Lake; Lake Michigan from Port Washington to North Point Light WI 5NM offshore to Mid Lake; Lake Michigan from North Point Light to Wind Point WI 5NM offshore to Mid Lake; Lake Michigan from Wind Point WI to Winthrop Harbor IL 5NM offshore to Mid Lake; Lake Michigan from Winthrop Harbor to Wilmette Harbor IL 5NM offshore to Mid Lake; Lake Michigan from Wilmette Harbor to Michigan City in 5NM offshore to Mid Lake; Lake Michigan from Pentwater to Manistee MI 5NM offshore to Mid Lake; Lake Michigan from Whitehall to Pentwater MI 5NM offshore to Mid Lake; Lake Michigan from Grand Haven to Whitehall MI 5NM offshore to Mid Lake; Lake Michigan from Holland to Grand Haven MI 5NM offshore to Mid Lake; Lake Michigan from South Haven to Holland MI 5NM offshore to Mid lake; Lake Michigan from St Joseph to South Haven MI 5NM offshore to Mid Lake,"092080,092567,092669,092671,092673,092675,092777,092779,092868,092870,092872,092874,092876,092878","LMZ080,LMZ567,LMZ669,LMZ671,LMZ673,LMZ675,LMZ777,LMZ779,LMZ868,LMZ870,LMZ872,LMZ874,LMZ876,LMZ878","https://api.weather.gov/zones/forecast/LMZ080,https://api.weather.gov/zones/forecast/LMZ567,https://api.weather.gov/zones/forecast/LMZ669,https://api.weather.gov/zones/forecast/LMZ671,https://api.weather.gov/zones/forecast/LMZ673,https://api.weather.gov/zones/forecast/LMZ675,https://api.weather.gov/zones/forecast/LMZ777,https://api.weather.gov/zones/forecast/LMZ779,https://api.weather.gov/zones/forecast/LMZ868,https://api.weather.gov/zones/forecast/LMZ870,https://api.weather.gov/zones/forecast/LMZ872,https://api.weather.gov/zones/forecast/LMZ874,https://api.weather.gov/zones/forecast/LMZ876,https://api.weather.gov/zones/forecast/LMZ878",2024-10-12T12:14:00-05:00,2024-10-12T12:14:00-05:00,2024-10-13T15:00:00-05:00,2024-10-12T20:15:00-05:00,2024-10-14T06:00:00-05:00,Actual,Alert,Met,Moderate,Possible,Future,Gale Watch,Gale Watch issued October 12 at 12:14PM CDT until October 14 at 6:00AM CDT by NWS Milwaukee/Sullivan WI
urn:oid:2.49.0.1.840.0.2baea81e483a70b470fb7c14e9fa49ad57e16600.005.1,Boston Harbor; Narragansett Bay,"073230,073236","ANZ230,ANZ236","https://api.weather.gov/zones/forecast/ANZ230,https://api.weather.gov/zones/forecast/ANZ236",2024-10-12T12:47:00-04:00,2024-10-12T12:47:00-04:00,2024-10-12T12:47:00-04:00,2024-10-12T17:00:00-04:00,2024-10-12T17:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 12:47PM EDT until October 12 at 5:00PM EDT by NWS Boston/Norton MA
urn:oid:2.49.0.1.840.0.2baea81e483a70b470fb7c14e9fa49ad57e16600.003.1,Coastal Waters extending out to 25 nm South of Marthas Vineyard and Nantucket; Coastal Waters from Montauk NY to Marthas Vineyard extending out to 20 nm South of Block Island,"073255,073256","ANZ255,ANZ256","https://api.weather.gov/zones/forecast/ANZ255,https://api.weather.gov/zones/forecast/ANZ256",2024-10-12T12:47:00-04:00,2024-10-12T12:47:00-04:00,2024-10-12T12:47:00-04:00,2024-10-12T23:00:00-04:00,2024-10-12T23:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 12:47PM EDT until October 12 at 11:00PM EDT by NWS Boston/Norton MA
urn:oid:2.49.0.1.840.0.2baea81e483a70b470fb7c14e9fa49ad57e16600.002.2,Massachusetts Bay and Ipswich Bay,073251,ANZ251,https://api.weather.gov/zones/forecast/ANZ251,2024-10-12T12:47:00-04:00,2024-10-12T12:47:00-04:00,2024-10-12T12:47:00-04:00,2024-10-12T17:00:00-04:00,2024-10-12T17:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 12:47PM EDT until October 12 at 5:00PM EDT by NWS Boston/Norton MA
